年月,港口別,總計,國際貨櫃貨,散雜貨,管道貨
200101,國際商港,41530669,27272079,8612561,5646029
200101,基隆港,5895951,4610430,803013,482508
200101,臺中港,5666018,2641122,1915387,1109509
200101,高雄港,28293633,20020527,4516693,3756413
200101,花蓮港,1213775,0,1169938,43837
200101,臺北港,0,0,0,0
200101,蘇澳港,382239,0,153777,228462
200101,安平港,79053,0,53753,25300
200102,國際商港,41282493,27917255,8590882,4774356
200102,基隆港,6034719,4873968,841073,319678
200102,臺中港,5609645,2970162,1814764,824719
200102,高雄港,28145490,20068227,4688507,3388756
200102,花蓮港,1027847,0,988559,39288
200102,臺北港,0,0,0,0
200102,蘇澳港,363546,0,201661,161885
200102,安平港,101246,4898,56318,40030
200103,國際商港,48905404,33452541,9967031,5485832
200103,基隆港,7530528,5904810,1175559,450159
200103,臺中港,6955440,3591702,2365054,998684
200103,高雄港,32451291,23951673,4798764,3700854
200103,花蓮港,1409034,0,1353924,55110
200103,臺北港,0,0,0,0
200103,蘇澳港,436771,0,191846,244925
200103,安平港,122340,4356,81884,36100
200104,國際商港,46832762,31492467,10247251,5093044
200104,基隆港,7063284,5738859,1029706,294719
200104,臺中港,6365925,3294396,2125853,945676
200104,高雄港,31568356,22448520,5536765,3583071
200104,花蓮港,1262189,0,1218949,43240
200104,臺北港,0,0,0,0
200104,蘇澳港,451916,0,255078,196838
200104,安平港,121092,10692,80900,29500
200105,國際商港,48123524,32442831,10485595,5195098
200105,基隆港,7241842,5755905,1070431,415506
200105,臺中港,6601981,3342420,2205422,1054139
200105,高雄港,32279813,23336046,5532474,3411293
200105,花蓮港,1419385,0,1389486,29899
200105,臺北港,0,0,0,0
200105,蘇澳港,452885,0,204306,248579
200105,安平港,127618,8460,83476,35682
200106,國際商港,46100207,31567401,10076657,4456149
200106,基隆港,6700661,5414787,942145,343729
200106,臺中港,6151440,3123126,2171827,856487
200106,高雄港,31454242,23029488,5414518,3010236
200106,花蓮港,1260787,0,1246387,14400
200106,臺北港,0,0,0,0
200106,蘇澳港,454469,0,241772,212697
200106,安平港,78608,0,60008,18600
200107,國際商港,46725407,31504851,10201855,5018701
200107,基隆港,6638075,5235453,984923,417699
200107,臺中港,6512492,3143700,2517165,851627
200107,高雄港,31974902,23114898,5384654,3475350
200107,花蓮港,1111793,0,1066982,44811
200107,臺北港,0,0,0,0
200107,蘇澳港,389037,0,181023,208014
200107,安平港,99108,10800,67108,21200
200108,國際商港,47610935,32691663,10262717,4656555
200108,基隆港,7296175,5759271,1152197,384707
200108,臺中港,6354071,3254580,2317128,782363
200108,高雄港,32178945,23666400,5328925,3183620
200108,花蓮港,1286983,0,1247783,39200
200108,臺北港,0,0,0,0
200108,蘇澳港,395333,0,163265,232068
200108,安平港,99428,11412,53419,34597
200109,國際商港,43584849,30608541,8297663,4678645
200109,基隆港,6214623,5085882,779152,349589
200109,臺中港,6039115,3326976,1968020,744119
200109,高雄港,29943255,22186359,4398252,3358644
200109,花蓮港,989862,0,938746,51116
200109,臺北港,0,0,0,0
200109,蘇澳港,330889,0,181842,149047
200109,安平港,67105,9324,31651,26130
200110,國際商港,48895042,32775534,10743345,5376163
200110,基隆港,7409221,5812020,1151605,445596
200110,臺中港,6505296,3245778,2473854,785664
200110,高雄港,33212558,23717736,5657149,3837673
200110,花蓮港,1282844,0,1256621,26223
200110,臺北港,0,0,0,0
200110,蘇澳港,363387,0,133080,230307
200110,安平港,121736,0,71036,50700
200111,國際商港,45891597,31802247,9675233,4414117
200111,基隆港,7233917,5672799,1150169,410949
200111,臺中港,6323357,3337596,2139772,845989
200111,高雄港,30237255,22791852,4545295,2900108
200111,花蓮港,1531427,0,1487797,43630
200111,臺北港,0,0,0,0
200111,蘇澳港,403941,0,237000,166941
200111,安平港,161700,0,115200,46500
200112,國際商港,47390111,31858920,10704424,4826767
200112,基隆港,7159132,5506578,1211742,440812
200112,臺中港,6282958,3225186,2265152,792620
200112,高雄港,32007117,23127156,5517964,3361997
200112,花蓮港,1467498,0,1403417,64081
200112,臺北港,0,0,0,0
200112,蘇澳港,360044,0,192787,167257
200112,安平港,113362,0,113362,0
200201,國際商港,45009847,30671649,9604302,4733896
200201,基隆港,6973313,5469291,1182988,321034
200201,臺中港,6008469,3265380,1838233,904856
200201,高雄港,29960552,21924486,4781016,3255050
200201,花蓮港,1453865,0,1422763,31102
200201,臺北港,0,0,0,0
200201,蘇澳港,400867,0,232013,168854
200201,安平港,212781,12492,147289,53000
200202,國際商港,39019238,26531982,8522424,3964832
200202,基隆港,4977551,3909132,776489,291930
200202,臺中港,5587387,2684556,2153488,749343
200202,高雄港,26858095,19928574,4265599,2663922
200202,花蓮港,1066799,0,1041235,25564
200202,臺北港,0,0,0,0
200202,蘇澳港,401708,0,188835,212873
200202,安平港,127698,9720,96778,21200
200203,國際商港,50322602,35053344,10501896,4767362
200203,基隆港,7328895,5836644,1149200,343051
200203,臺中港,6531652,3784860,1827725,919067
200203,高雄港,34406886,25431840,5749740,3225306
200203,花蓮港,1408782,0,1356514,52268
200203,臺北港,0,0,0,0
200203,蘇澳港,437975,0,256205,181770
200203,安平港,208412,0,162512,45900
200204,國際商港,50588976,35125245,10834180,4629551
200204,基隆港,7717966,6134544,1244571,338851
200204,臺中港,6986119,3794868,2421045,770206
200204,高雄港,33830255,25175673,5415954,3238628
200204,花蓮港,1339555,0,1294179,45376
200204,臺北港,0,0,0,0
200204,蘇澳港,452405,0,254915,197490
200204,安平港,262676,20160,203516,39000
200205,國際商港,52685966,36126387,11498627,5060952
200205,基隆港,8058164,6207489,1368571,482104
200205,臺中港,7154431,3707964,2601098,845369
200205,高雄港,35396467,26201466,5748261,3446740
200205,花蓮港,1387288,0,1382665,4623
200205,臺北港,0,0,0,0
200205,蘇澳港,460497,0,219161,241336
200205,安平港,229119,9468,178871,40780
200206,國際商港,51321703,35771832,10959437,4590434
200206,基隆港,7697077,5994531,1176667,525879
200206,臺中港,7004215,3563100,2601446,839669
200206,高雄港,34756580,26209305,5592868,2954407
200206,花蓮港,1202958,0,1176838,26120
200206,臺北港,0,0,0,0
200206,蘇澳港,463745,0,247903,215842
200206,安平港,197128,4896,163715,28517
200207,國際商港,52180857,35957961,11253426,4969470
200207,基隆港,7713650,5905971,1393539,414140
200207,臺中港,6743643,3482226,2328508,932909
200207,高雄港,35512777,26555004,5661997,3295776
200207,花蓮港,1527693,0,1501496,26197
200207,臺北港,0,0,0,0
200207,蘇澳港,467802,0,196354,271448
200207,安平港,215292,14760,171532,29000
200208,國際商港,52947602,35994330,11952416,5000856
200208,基隆港,8097524,5997258,1607694,492572
200208,臺中港,6995007,3634488,2543344,817175
200208,高雄港,35647095,26353404,5827101,3466590
200208,花蓮港,1504919,0,1474658,30261
200208,臺北港,0,0,0,0
200208,蘇澳港,485707,0,323059,162648
200208,安平港,217350,9180,176560,31610
200209,國際商港,50997651,34982415,11418297,4596939
200209,基隆港,7202211,5490243,1256826,455142
200209,臺中港,6713924,3256884,2671214,785826
200209,高雄港,34842337,26226792,5588410,3027135
200209,花蓮港,1474462,0,1440976,33486
200209,臺北港,0,0,0,0
200209,蘇澳港,525491,0,268341,257150
200209,安平港,239226,8496,192530,38200
200210,國際商港,52908483,36256815,11549229,5102439
200210,基隆港,7854838,6142824,1333037,378977
200210,臺中港,7251961,3952872,2442806,856283
200210,高雄港,35342973,26151759,5674412,3516802
200210,花蓮港,1629637,0,1592709,36928
200210,臺北港,0,0,0,0
200210,蘇澳港,541375,0,275716,265659
200210,安平港,287699,9360,230549,47790
200211,國際商港,54331233,37815813,11765909,4749511
200211,基隆港,7422546,5807286,1283366,331894
200211,臺中港,7236563,3946248,2437421,852894
200211,高雄港,37321525,28051263,6059488,3210774
200211,花蓮港,1525618,0,1463013,62605
200211,臺北港,0,0,0,0
200211,蘇澳港,504838,0,266254,238584
200211,安平港,320143,11016,256367,52760
200212,國際商港,54396664,37623051,12013340,4760273
200212,基隆港,7867300,6174297,1282259,410744
200212,臺中港,7294927,3898188,2542738,854001
200212,高雄港,36811627,27540306,6125788,3145533
200212,花蓮港,1638593,0,1583693,54900
200212,臺北港,0,0,0,0
200212,蘇澳港,420706,0,168611,252095
200212,安平港,363511,10260,310251,43000
200301,國際商港,49042268,32732118,11505713,4804437
200301,基隆港,7274318,5779944,1132975,361399
200301,臺中港,6779084,3529944,2366074,883066
200301,高雄港,32574915,23405598,5797581,3371736
200301,花蓮港,1569035,0,1549840,19195
200301,臺北港,0,0,0,0
200301,蘇澳港,430233,0,295092,135141
200301,安平港,414683,16632,364151,33900
200302,國際商港,47605025,32913099,10129937,4561989
200302,基隆港,6062822,4635153,1120010,307659
200302,臺中港,5899381,3096612,2210095,592674
200302,高雄港,33836860,25170390,5264005,3402465
200302,花蓮港,1058197,0,1027905,30292
200302,臺北港,0,0,0,0
200302,蘇澳港,436977,0,236578,200399
200302,安平港,310788,10944,271344,28500
200303,國際商港,54437720,38257236,11700774,4479710
200303,基隆港,7907888,6299505,1334461,273922
200303,臺中港,7266003,3926790,2474829,864384
200303,高雄港,37071376,28015785,5942896,3112695
200303,花蓮港,1318111,0,1301885,16226
200303,臺北港,0,0,0,0
200303,蘇澳港,440627,0,259644,180983
200303,安平港,433715,15156,387059,31500
200304,國際商港,55330127,38037312,12401135,4891680
200304,基隆港,7660540,6065397,1351559,243584
200304,臺中港,7662472,3797730,3159210,705532
200304,高雄港,37935162,28163745,6125690,3645727
200304,花蓮港,1233723,0,1204581,29142
200304,臺北港,0,0,0,0
200304,蘇澳港,452807,0,218812,233995
200304,安平港,385423,10440,341283,33700
200305,國際商港,53577549,36369099,12048547,5159903
200305,基隆港,7972897,6091200,1499454,382243
200305,臺中港,6946174,3781008,2459955,705211
200305,高雄港,36105397,26496891,5876033,3732473
200305,花蓮港,1657164,0,1611547,45617
200305,臺北港,0,0,0,0
200305,蘇澳港,454679,0,194120,260559
200305,安平港,441238,0,407438,33800
200306,國際商港,50743852,34872768,11745421,4125663
200306,基隆港,7733834,6036714,1398044,299076
200306,臺中港,7026458,3604770,2720142,701546
200306,高雄港,33593635,25218792,5542720,2832123
200306,花蓮港,1554663,0,1530615,24048
200306,臺北港,0,0,0,0
200306,蘇澳港,465739,0,238302,227437
200306,安平港,369523,12492,315598,41433
200307,國際商港,53478799,36546192,12124055,4808552
200307,基隆港,8016107,6049449,1639624,327034
200307,臺中港,7221909,3627918,2786078,807913
200307,高雄港,35938291,26851077,5609682,3477532
200307,花蓮港,1478319,0,1473346,4973
200307,臺北港,0,0,0,0
200307,蘇澳港,472492,0,315892,156600
200307,安平港,351681,17748,299433,34500
200308,國際商港,54358176,37484370,12428304,4445502
200308,基隆港,7796709,5808303,1614750,373656
200308,臺中港,6975131,3637548,2631924,705659
200308,高雄港,37167843,28028043,6148154,2991646
200308,花蓮港,1583619,0,1519031,64588
200308,臺北港,0,0,0,0
200308,蘇澳港,489748,0,206295,283453
200308,安平港,345126,10476,308150,26500
200309,國際商港,50925965,35053200,11271944,4600821
200309,基隆港,7664989,5990778,1296399,377812
200309,臺中港,6819198,3786660,2409704,622834
200309,高雄港,34119998,25260894,5531586,3327518
200309,花蓮港,1483145,0,1478246,4899
200309,臺北港,0,0,0,0
200309,蘇澳港,496439,0,256181,240258
200309,安平港,342196,14868,299828,27500
200310,國際商港,55627947,37456110,13491840,4679997
200310,基隆港,8531776,6450426,1772880,308470
200310,臺中港,7435625,3973356,2681421,780848
200310,高雄港,37128451,27021528,6807605,3299318
200310,花蓮港,1644751,0,1617233,27518
200310,臺北港,0,0,0,0
200310,蘇澳港,512394,0,285051,227343
200310,安平港,374950,10800,327650,36500
200311,國際商港,54340601,37006884,12086641,5247076
200311,基隆港,7953157,6271407,1374429,307321
200311,臺中港,7039722,3795192,2440119,804411
200311,高雄港,36753272,26915121,6022591,3815560
200311,花蓮港,1671667,0,1589340,82327
200311,臺北港,0,0,0,0
200311,蘇澳港,513722,0,333465,180257
200311,安平港,409061,25164,326697,57200
200312,國際商港,56109374,38682711,12451910,4974753
200312,基隆港,8528901,6547158,1708493,273250
200312,臺中港,7502810,4299444,2379314,824052
200312,高雄港,37418414,27813285,5969414,3635715
200312,花蓮港,1804341,0,1785312,19029
200312,臺北港,0,0,0,0
200312,蘇澳港,456933,0,288226,168707
200312,安平港,397975,22824,321151,54000
200401,國際商港,53569254,35733627,12690629,5144998
200401,基隆港,6799037,5443452,1063614,291971
200401,臺中港,6820847,3449736,2711899,659212
200401,高雄港,36899343,26818911,6431332,3649100
200401,花蓮港,1670109,0,1621298,48811
200401,臺北港,610768,0,399705,211063
200401,蘇澳港,441109,0,212768,228341
200401,安平港,328041,21528,250013,56500
200402,國際商港,53226320,35973243,12152570,5100507
200402,基隆港,7313041,5687154,1363017,262870
200402,臺中港,7288506,3718512,2867168,702826
200402,高雄港,35809228,26546589,5573036,3689603
200402,花蓮港,1539547,0,1495897,43650
200402,臺北港,484602,0,336963,147639
200402,蘇澳港,445414,0,244393,201021
200402,安平港,345982,20988,272096,52898
200403,國際商港,59456382,40191750,13568149,5696483
200403,基隆港,8503785,6500691,1680726,322368
200403,臺中港,7307095,3920184,2691025,695886
200403,高雄港,40400011,29751471,6495065,4153475
200403,花蓮港,1707856,0,1645896,61960
200403,臺北港,635009,0,429072,205937
200403,蘇澳港,491358,0,307787,183571
200403,安平港,411268,19404,318578,73286
200404,國際商港,59380154,40297239,13725158,5357757
200404,基隆港,8687199,6485760,1835796,365643
200404,臺中港,7614432,3842316,3003883,768233
200404,高雄港,39694092,29951415,6063966,3678711
200404,花蓮港,1904339,0,1880538,23801
200404,臺北港,556101,0,367882,188219
200404,蘇澳港,500986,0,235782,265204
200404,安平港,423005,17748,337311,67946
200405,國際商港,60715788,40837185,13944481,5934122
200405,基隆港,8933400,6735078,1727987,470335
200405,臺中港,7491185,3829824,2900768,760593
200405,高雄港,40759082,30265083,6273595,4220404
200405,花蓮港,1911616,0,1899137,12479
200405,臺北港,665516,0,479409,186107
200405,蘇澳港,521331,0,319613,201718
200405,安平港,433658,7200,343972,82486
200406,國際商港,59442983,40037517,13726417,5679049
200406,基隆港,8641679,6549561,1747074,345044
200406,臺中港,7763496,3578400,3466141,718955
200406,高雄港,39663270,29894616,5684740,4083914
200406,花蓮港,1688333,0,1653325,35008
200406,臺北港,630443,0,415655,214788
200406,蘇澳港,561420,0,360997,200423
200406,安平港,494342,14940,398485,80917
200407,國際商港,59865518,40202604,14584305,5078609
200407,基隆港,8501067,6414210,1753996,332861
200407,臺中港,7890149,3898512,3320275,671362
200407,高雄港,39746980,29875698,6344095,3527187
200407,花蓮港,1992504,0,1960347,32157
200407,臺北港,685949,0,505985,179964
200407,蘇澳港,563099,0,304933,258166
200407,安平港,485770,14184,394674,76912
200408,國際商港,57838552,39439791,13524208,4874553
200408,基隆港,7823228,5841045,1581894,400289
200408,臺中港,7408516,3579084,3255933,573499
200408,高雄港,39015608,30008034,5652925,3354649
200408,花蓮港,1814472,0,1757937,56535
200408,臺北港,727414,0,514303,213111
200408,蘇澳港,568454,0,369876,198578
200408,安平港,480860,11628,391340,77892
200409,國際商港,57776427,38899548,13493615,5383264
200409,基隆港,7934924,6054813,1480394,399717
200409,臺中港,7123287,3779046,2634730,709511
200409,高雄港,39480067,29047833,6662798,3769436
200409,花蓮港,1677572,0,1672876,4696
200409,臺北港,635131,0,441427,193704
200409,蘇澳港,510608,0,268022,242586
200409,安平港,414838,17856,333368,63614
200410,國際商港,57934890,39001140,13422536,5511214
200410,基隆港,8175015,6332985,1440291,401739
200410,臺中港,7429474,3799872,2978844,650758
200410,高雄港,38867320,28859859,6132405,3875056
200410,花蓮港,1860421,0,1821846,38575
200410,臺北港,657086,0,435791,221295
200410,蘇澳港,515078,0,271398,243680
200410,安平港,430496,8424,341961,80111
200411,國際商港,58459390,39381336,13691054,5387000
200411,基隆港,8468740,6351993,1693012,423735
200411,臺中港,7591557,3756024,2971113,864420
200411,高雄港,38862192,29273319,6042961,3545912
200411,花蓮港,1860477,0,1836146,24331
200411,臺北港,720706,0,537710,182996
200411,蘇澳港,524557,0,256767,267790
200411,安平港,431161,0,353345,77816
200412,國際商港,58575390,39242043,13675685,5657662
200412,基隆港,7984854,6130170,1492136,362548
200412,臺中港,7173361,3675168,2722853,775340
200412,高雄港,39715386,29415321,6331758,3968307
200412,花蓮港,2123803,0,2046310,77493
200412,臺北港,734091,0,542913,191178
200412,蘇澳港,430817,0,221138,209679
200412,安平港,413078,21384,318577,73117
200501,國際商港,58812304,38139462,15285345,5387497
200501,基隆港,8844384,6604011,1890702,349671
200501,臺中港,7864634,3695184,3300430,869020
200501,高雄港,38196131,27816147,6736486,3643498
200501,花蓮港,2177890,0,2145323,32567
200501,臺北港,792623,0,590681,201942
200501,蘇澳港,453116,0,250270,202846
200501,安平港,483526,24120,371453,87953
200502,國際商港,47691688,32091066,10891696,4708926
200502,基隆港,5538406,4343445,981707,213254
200502,臺中港,6255561,3106548,2558285,590728
200502,高雄港,32886337,24627105,4888815,3370417
200502,花蓮港,1572018,0,1549447,22571
200502,臺北港,616232,0,417331,198901
200502,蘇澳港,504651,0,277899,226752
200502,安平港,318483,13968,218212,86303
200503,國際商港,59622862,41016393,13395185,5211284
200503,基隆港,8365265,6387957,1659386,317922
200503,臺中港,7426311,3887892,2782931,755488
200503,高雄港,40531742,30732912,6246620,3552210
200503,花蓮港,1719350,0,1694518,24832
200503,臺北港,556798,0,377116,179682
200503,蘇澳港,534560,0,251516,283044
200503,安平港,488836,7632,383098,98106
200504,國際商港,58112488,38897748,13709735,5505005
200504,基隆港,8439205,6403347,1788764,247094
200504,臺中港,7342093,3728844,2902764,710485
200504,高雄港,38712169,28746837,6118654,3846678
200504,花蓮港,1821960,0,1761650,60310
200504,臺北港,736103,0,489851,246252
200504,蘇澳港,555621,0,276675,278946
200504,安平港,505337,18720,371377,115240
200505,國際商港,60019614,40299048,14616322,5104244
200505,基隆港,8579698,6547032,1657271,375395
200505,臺中港,7604478,3821400,3160216,622862
200505,高雄港,39883847,29916144,6454855,3512848
200505,花蓮港,2058853,0,2054077,4776
200505,臺北港,846466,0,614926,231540
200505,蘇澳港,556997,0,281390,275607
200505,安平港,489275,14472,393587,81216
200506,國際商港,59013710,40340817,13075655,5597238
200506,基隆港,8747467,6537168,1830356,379943
200506,臺中港,7511249,3862728,2992772,655749
200506,高雄港,39073047,29919033,5177760,3976254
200506,花蓮港,1919683,0,1877179,42504
200506,臺北港,771328,0,565542,205786
200506,蘇澳港,608396,0,329809,278587
200506,安平港,382540,21888,302237,58415
200507,國際商港,55918375,37415430,13445474,5057471
200507,基隆港,7980071,6059277,1674212,246582
200507,臺中港,7113373,3574800,2994859,543714
200507,高雄港,37208450,27773397,5888412,3546641
200507,花蓮港,1818981,0,1760776,58205
200507,臺北港,746675,0,507445,239230
200507,蘇澳港,611245,0,295643,315602
200507,安平港,439580,7956,324127,107497
200508,國際商港,58011592,39297798,13300911,5412883
200508,基隆港,8194643,6188616,1690073,315954
200508,臺中港,7399857,3591648,3225716,582493
200508,高雄港,38804927,29502126,5422581,3880220
200508,花蓮港,1753590,0,1730887,22703
200508,臺北港,763718,0,566153,197565
200508,蘇澳港,614314,0,309635,304679
200508,安平港,480543,15408,355866,109269
200509,國際商港,57140331,37651923,14161466,5326942
200509,基隆港,8183985,6162597,1627196,394192
200509,臺中港,7284585,3613428,3111060,560097
200509,高雄港,37757919,27859518,6134124,3764277
200509,花蓮港,1861547,0,1840740,20807
200509,臺北港,914135,0,717139,196996
200509,蘇澳港,533371,0,255937,277434
200509,安平港,604789,16380,475270,113139
200510,國際商港,58033124,38737260,14260824,5035040
200510,基隆港,8950852,6738615,1854309,357928
200510,臺中港,7552427,3849120,3081113,622194
200510,高雄港,37803894,28132281,6243286,3428327
200510,花蓮港,1483769,0,1420371,63398
200510,臺北港,923726,0,733639,190087
200510,蘇澳港,536579,0,263028,273551
200510,安平港,781877,17244,665078,99555
200511,國際商港,57033903,38089296,13499188,5445419
200511,基隆港,8502981,6548031,1545448,409502
200511,臺中港,7545611,3786516,3016453,742642
200511,高雄港,36679912,27738837,5262877,3678198
200511,花蓮港,1795886,0,1772482,23404
200511,臺北港,1051502,0,852241,199261
200511,蘇澳港,546664,0,278383,268281
200511,安平港,911347,15912,771304,124131
200512,國際商港,58516662,38709018,13907537,5900107
200512,基隆港,8839690,6772383,1663240,404067
200512,臺中港,7529352,3722832,2941145,865375
200512,高雄港,37887374,28193679,5602932,4090763
200512,花蓮港,1966054,0,1923010,43044
200512,臺北港,1012341,0,846417,165924
200512,蘇澳港,466348,0,245920,220428
200512,安平港,815503,20124,684873,110506
200601,國際商港,55370714,37164357,12852846,5353511
200601,基隆港,8127872,6055263,1581652,490957
200601,臺中港,7266066,3427848,2939335,898883
200601,高雄港,35914998,27664506,4885430,3365062
200601,花蓮港,1788343,0,1748870,39473
200601,臺北港,1045771,0,820370,225401
200601,蘇澳港,475126,0,257984,217142
200601,安平港,752538,16740,619205,116593
200602,國際商港,50477043,33268590,12254429,4954024
200602,基隆港,7316274,5531850,1381946,402478
200602,臺中港,6598438,3063348,2833237,701853
200602,高雄港,32728523,24656292,4862820,3209411
200602,花蓮港,1651528,0,1592930,58598
200602,臺北港,862017,0,649290,212727
200602,蘇澳港,511087,0,263243,247844
200602,安平港,809176,17100,670963,121113
200603,國際商港,60961356,40433976,14859025,5668355
200603,基隆港,8360157,6425676,1496904,437577
200603,臺中港,7932184,3855204,3370099,706881
200603,高雄港,40304264,30137256,6308249,3858759
200603,花蓮港,1781041,0,1761302,19739
200603,臺北港,1135476,0,906469,229007
200603,蘇澳港,557255,0,268303,288952
200603,安平港,890979,15840,747699,127440
200604,國際商港,59969113,39613194,14981914,5374005
200604,基隆港,8617429,6630291,1504495,482643
200604,臺中港,7911677,3754332,3433664,723681
200604,高雄港,38934166,29203515,6258719,3471932
200604,花蓮港,1670398,0,1599286,71112
200604,臺北港,1122090,0,890820,231270
200604,蘇澳港,598959,0,329179,269780
200604,安平港,1114394,25056,965751,123587
200605,國際商港,62446323,41020344,15203118,6222861
200605,基隆港,8424991,6505785,1478776,440430
200605,臺中港,7900767,3727836,3536357,636574
200605,高雄港,41864004,30776715,6651738,4435551
200605,花蓮港,1621107,0,1579939,41168
200605,臺北港,1167080,0,915433,251647
200605,蘇澳港,600390,0,294238,306152
200605,安平港,867984,10008,746637,111339
200606,國際商港,59561606,39459681,14717534,5384391
200606,基隆港,8265424,6367518,1452546,445360
200606,臺中港,7943236,3801492,3430192,711552
200606,高雄港,39002217,29268567,6200287,3533363
200606,花蓮港,1669997,0,1598871,71126
200606,臺北港,1231545,0,963204,268341
200606,蘇澳港,610265,0,350103,260162
200606,安平港,838922,22104,722331,94487
200607,國際商港,58416905,39254508,14185307,4977090
200607,基隆港,8225328,6271974,1552215,401139
200607,臺中港,7315201,3724596,3016309,574296
200607,高雄港,38768144,29242710,6281780,3243654
200607,花蓮港,1595234,0,1576230,19004
200607,臺北港,1127244,0,828292,298952
200607,蘇澳港,586666,0,258641,328025
200607,安平港,799088,15228,671840,112020
200608,國際商港,61666287,41187888,15214624,5263775
200608,基隆港,8238354,6424308,1462352,351694
200608,臺中港,7711531,3696372,3324654,690505
200608,高雄港,41148229,31050612,6546006,3551611
200608,花蓮港,1656747,0,1623137,33610
200608,臺北港,1337862,0,1055994,281868
200608,蘇澳港,615472,0,356324,259148
200608,安平港,958092,16596,846157,95339
200609,國際商港,59067142,39582171,14654817,4830154
200609,基隆港,8499528,6569073,1503027,427428
200609,臺中港,7318897,3468096,3229787,621014
200609,高雄港,38765261,29527470,6126567,3111224
200609,花蓮港,1766295,0,1699859,66436
200609,臺北港,1274019,0,1030447,243572
200609,蘇澳港,530618,0,246455,284163
200609,安平港,912524,17532,818675,76317
200610,國際商港,58335955,39511611,14169551,4654793
200610,基隆港,8299346,6440382,1434506,424458
200610,臺中港,7284815,3410892,3282459,591464
200610,高雄港,38189917,29637765,5588927,2963225
200610,花蓮港,1743800,0,1690410,53390
200610,臺北港,1297443,0,1043594,253849
200610,蘇澳港,453420,0,207969,245451
200610,安平港,1067214,22572,921686,122956
200611,國際商港,59276591,40015098,14111042,5150451
200611,基隆港,8295835,6483843,1396209,415783
200611,臺中港,7299514,3544596,3178829,576089
200611,高雄港,39138508,29970567,5611159,3556782
200611,花蓮港,1622470,0,1583891,38579
200611,臺北港,1207218,0,972059,235159
200611,蘇澳港,586868,0,360319,226549
200611,安平港,1126178,16092,1008576,101510
200612,國際商港,60956805,41372829,14384411,5199565
200612,基隆港,8808862,6931386,1406476,471000
200612,臺中港,7840986,3672468,3296874,871644
200612,高雄港,40125736,30752163,6091278,3282295
200612,花蓮港,1505072,0,1471176,33896
200612,臺北港,1185763,0,937472,248291
200612,蘇澳港,477586,0,294263,183323
200612,安平港,1012800,16812,886872,109116
200701,國際商港,60236893,40547727,14432212,5256954
200701,基隆港,8117395,6499971,1270151,347273
200701,臺中港,7299645,3490200,3029190,780255
200701,高雄港,40152061,30537936,6136868,3477257
200701,花蓮港,1739881,0,1666257,73624
200701,臺北港,1386549,0,1092727,293822
200701,蘇澳港,492425,0,309312,183113
200701,安平港,1048937,19620,927707,101610
200702,國際商港,52119161,35398467,12049608,4671086
200702,基隆港,6723074,5205258,1080531,437285
200702,臺中港,6118108,2792592,2820999,504517
200702,高雄港,35573147,27382329,5092683,3098135
200702,花蓮港,1454252,0,1423258,30994
200702,臺北港,1007521,0,792967,214554
200702,蘇澳港,519523,0,219684,299839
200702,安平港,723536,18288,619486,85762
200703,國際商港,59204407,40790133,13553217,4861057
200703,基隆港,7696610,6486525,907023,303062
200703,臺中港,7684509,3895452,3065530,723527
200703,高雄港,39649421,30400632,6135981,3112808
200703,花蓮港,1694072,0,1632821,61251
200703,臺北港,1037938,0,773017,264921
200703,蘇澳港,563518,0,300152,263366
200703,安平港,878339,7524,738693,132122
200704,國際商港,59234839,40772520,12820414,5641905
200704,基隆港,8186569,6883794,991634,311141
200704,臺中港,7080719,3591684,2726512,762523
200704,高雄港,39991981,30267810,5839713,3884458
200704,花蓮港,1886365,0,1829905,56460
200704,臺北港,831948,0,598769,233179
200704,蘇澳港,600706,0,310056,290650
200704,安平港,656551,29232,523825,103494
